Alpha,LName,fName,mName,company,platoon,squad,dutySection,roomNumber_id,phoneNumber,weekends,weekendsComment,CQPR,SQPR,performanceGrade,conductGrade,PRT,,,,,,
113666,LAWS,MICHAEL,,17,1,1,1,,1212121212,16,,3,3,A,A,90,"('113666','LAWS','MICHAEL','','17','1','1','1','','1212121212','16','','3','3','A','A','90'),",,,,,
115412,RABE,RYAN,,4,1,1,1,,1313131313,16,,3,3,A,A,91,"('115412','RABE','RYAN','','4','1','1','1','','1313131313','16','','3','3','A','A','91'),",,,,,
110234,ARMIJO,LORENZO,,25,1,1,1,,1111111111,16,,3,3,A,A,90,"('110234','ARMIJO','LORENZO','','25','1','1','1','','1111111111','16','','3','3','A','A','90'),",,,,,
110360,BALTIS,ARIEL,,25,2,2,2,,1111111112,16,,3,3,B,B,90,"('110360','BALTIS','ARIEL','','25','2','2','2','','1111111112','16','','3','3','B','B','90'),",,,,,
110918,BROWN,KALEB,,25,3,3,3,,1111111113,16,,3,3,C,C,90,"('110918','BROWN','KALEB','','25','3','3','3','','1111111113','16','','3','3','C','C','90'),",,,,,
111068,BURTON,CARSON,,25,4,1,4,,1111111114,16,,3,3,A,A,90,"('111068','BURTON','CARSON','','25','4','1','4','','1111111114','16','','3','3','A','A','90'),",,,,,
111140,CAMERON,JONATHAN,,25,1,2,5,,1111111115,16,,3,3,B,B,90,"('111140','CAMERON','JONATHAN','','25','1','2','5','','1111111115','16','','3','3','B','B','90'),",,,,,
111536,CORRIN,JAMES,,25,2,3,6,,1111111116,16,,3,3,C,C,90,"('111536','CORRIN','JAMES','','25','2','3','6','','1111111116','16','','3','3','C','C','90'),",,,,,
111866,DERRICK,JEREMIAH,,25,3,1,7,,1111111117,16,,3,3,A,A,90,"('111866','DERRICK','JEREMIAH','','25','3','1','7','','1111111117','16','','3','3','A','A','90'),",,,,,
112040,DRURY,PATRICK,,25,4,2,8,,1111111118,16,,3,3,B,B,90,"('112040','DRURY','PATRICK','','25','4','2','8','','1111111118','16','','3','3','B','B','90'),",,,,,
112196,FAWCETT,ERIN,,25,1,3,1,,1111111119,16,,3,3,C,C,90,"('112196','FAWCETT','ERIN','','25','1','3','1','','1111111119','16','','3','3','C','C','90'),",,,,,
112568,GRANT,SARAH,,25,2,1,2,,1111111120,16,,3,3,A,A,90,"('112568','GRANT','SARAH','','25','2','1','2','','1111111120','16','','3','3','A','A','90'),",,,,,
